source_id,base_weight,evidence_class,independence_group,counts_toward_confidence,is_mirror,assessment_method,last_verified,notes
1,10,very_weak,cheaterlist-association,true,false,association,,
2,5,very_weak,cheaterlist-association,true,false,association,,
3,20,weak,cheaterlist-association,true,false,vac-plus-association,,
4,92,strong,pazer-official,true,false,curated,,
5,60,moderate,qfoxb,true,false,community-list,,
6,72,moderate,megacheaterdb,true,false,curated-database,,
7,8,very_weak,nullcore-membership,true,false,group-membership,,
8,92,strong,rgl,true,false,league-conviction,,
9,55,moderate,sleepy,true,false,bot-list,,
10,72,moderate,sleepy,true,false,bot-list,,
11,75,moderate,sleepy,true,false,derived-merged-bot-list,,
12,68,moderate,sleepy,true,false,bot-list,,
13,68,moderate,sleepy,true,false,bot-list,,
14,60,moderate,sleepy,true,false,bot-list,,
15,60,moderate,sleepy,true,false,bot-list,,
16,40,weak,sleepy,true,false,mixed-group-list,,
17,60,moderate,sleepy,true,false,bot-list,,
18,60,moderate,sleepy,true,false,bot-list,,
19,60,moderate,sleepy,true,false,bot-list,,
20,65,moderate,sleepy,true,false,bot-list,,
21,65,moderate,sleepy,true,false,bot-list,,
22,60,moderate,sleepy,true,false,bot-list,,
23,65,moderate,sleepy,true,false,bot-list,,
24,35,weak,sleepy,true,false,external-association,,
25,20,weak,sleepy,true,false,misc,,
26,25,weak,sleepy,true,false,no-proof,,
27,75,moderate,sleepy,true,false,curated-player-list,,
28,88,strong,rentamedic-curated,true,false,curated-database,2026-08-12,
29,0,none,rentamedic-aggregator,false,true,aggregator,2026-08-12,
30,80,strong,skial,true,false,community-cheat-ban,2026-08-12,
31,92,strong,blackwonder,true,false,anti-cheat-detection,2026-08-12,Targeted lookups only; the full BlackWonder catalog has not been synced into this snapshot.
32,90,strong,ugc,true,false,league-conviction,2026-08-12,
33,0,none,ugc-mirror,false,true,mirror-index,2026-08-12,
34,80,strong,phoenixgaming,true,false,community-cheat-ban,2026-08-18,"Now synced directly from the community's own public SourceBans install (previously only reachable via the rentamedic aggregator API, which returned no records). Only active explicit cheating/anti-cheat reasons count; recent-window sync."
35,82,strong,discff,true,false,community-cheat-ban,2026-08-19,"Now synced directly from the community's own public SourceBans install (previously only reachable via the rentamedic aggregator API, which returned no records). Only active explicit cheating/anti-cheat-detection reasons count; association, duplicate-account, evasion, conduct and exploit-abuse reasons are recorded as server_ban and contribute nothing. Recent-window sync (most recent banlist pages only, not the full historical archive)."
36,90,strong,panda,true,false,anti-cheat-or-reviewed-ban,2026-08-12,
37,80,strong,jumpacademy,true,false,community-cheat-ban,2026-08-12,
38,80,strong,thg,true,false,community-cheat-ban,2026-08-12,
39,92,strong,loos,true,false,anti-cheat-detection,2026-08-12,
40,80,strong,gfl,true,false,community-cheat-ban,2026-08-12,
41,92,strong,castaway,true,false,anti-cheat-detection,2026-08-12,
42,85,strong,serv-dos-brother,true,false,community-cheat-ban,2026-08-13,Only active explicit cheating/anti-cheat reasons count; duplicate-account and unrelated moderation bans are excluded.
43,82,strong,vovo-fortress,true,false,community-cheat-ban,2026-08-12,"The community links a SourceBans install at sbans.vovo.tf, which did not resolve when this snapshot was built."
44,80,strong,eotl,true,false,community-cheat-ban,2026-08-12,
45,92,strong,etf2l,true,false,league-conviction,2026-08-12,
46,92,strong,rgl,true,false,league-conviction,2026-08-12,
47,92,strong,ozfortress,true,false,league-conviction,2026-08-12,
48,90,strong,brasil-fortress,true,false,league-conviction,2026-08-12,
49,25,weak,metalstats,true,false,community-reputation,2026-08-12,
50,12,very_weak,tacobot,true,false,community-report,2026-08-12,
51,60,moderate,wgetjane,true,false,historical-bot-list,2026-08-12,
52,50,moderate,milenko-cathook,true,false,self-advertised-cheat-client,2026-08-12,
53,45,weak,valve-game-ban,true,false,generic-tf2-game-ban,2026-08-12,
54,30,weak,valve-vac,true,false,generic-vac-ban,2026-08-12,
55,35,weak,steam-public-list,true,false,historical-community-list,2026-08-12,
56,75,moderate,tf2bd-trusted,true,false,trusted-community-list,2026-08-12,
57,90,strong,mtrn,true,false,anti-cheat-detection,2026-08-12,Ignore unbanned/reversed false-positive records.
58,18,very_weak,mvmlobby,true,false,community-reputation,2026-08-12,Only explicit cheat/support/exploit reports; comments may conflict or be outdated.
59,0,aggregator,reptf,false,true,provenance-aggregator,2026-08-12,Do not double count underlying community bans.
60,75,moderate,horizon-australia,true,false,curated-playerlist,2026-08-12,Preserve cheater vs suspicious distinction from source.
61,92,strong,nocrex-tom,true,false,reviewer-confirmed-report,2026-08-12,Treat as a source assertion backed by the project review process; preserve provenance and appeal/reversal state when available.
62,60,moderate,bots-tf,true,false,compiled-bot-list,2026-08-12,Compiled bot list reached through the lmaobox Lua transport. Not a mirror: 48% of the accounts it lists appear in no other registered source. Weighted with the other maintained bot lists rather than above them.
63,10,very_weak,cheaterlist-association,true,true,association,2026-08-12,"Compiled copy of the d3fc0n6 CheaterFriend association list; same SteamID set as source 1, so it shares that independence group and weight."
64,12,very_weak,tacobot,true,false,compiled-community-report-list,2026-08-12,The Lua file is a compiled transport format; source-family independence is preserved by independence_group.
65,92,strong,pazer-official,true,false,compiled-curated-list,2026-08-12,The Lua file is a compiled transport format; source-family independence is preserved by independence_group.
66,72,moderate,megacheaterdb,true,false,compiled-curated-database,2026-08-12,The Lua file is a compiled transport format; source-family independence is preserved by independence_group.
67,72,moderate,megacheaterdb,true,false,compiled-suspicious-list,2026-08-12,The Lua file is a compiled transport format; source-family independence is preserved by independence_group.
68,72,moderate,megacheaterdb,true,false,compiled-watch-list,2026-08-12,The Lua file is a compiled transport format; source-family independence is preserved by independence_group.
69,0,none,megacheaterdb,false,false,compiled-legit-list,2026-08-12,The Lua file is a compiled transport format; source-family independence is preserved by independence_group.
70,0,none,steamhistory,false,false,identity-history-enrichment,2026-08-12,Identity/history enrichment only. Historical profile data must not be interpreted as cheating evidence.
71,65,moderate,minein4-shitlist,true,false,Public TF2BD player list; cheating-relevant attributes only.,2026-08-13,Unrelated tags do not contribute to cheating confidence.
72,70,moderate,garou3299,true,false,Public personal TF2BD database with cheater/suspicious classifications.,2026-08-13,
73,0,mirror,megacheaterdb,false,true,MCD/MCDB-derived collection with manual additions; provenance only until origins are separable.,2026-08-13,Avoids double-counting the MCDB family.
74,0,mirror,megacheaterdb,false,true,Mirror/derivative of MegaScatterBomb/MCDB data.,2026-08-13,Provenance only.
75,0,aggregator,nemesis-aggregator,false,true,Consolidated TF2BD list with mixed upstream provenance.,2026-08-13,Does not count independently until record-level provenance is separated.
76,0,reference,megaanticheat,false,false,Project/ecosystem reference; no released public account export seeded.,2026-08-13,
77,90,strong,zm-brasil,true,false,community-cheat-ban,2026-08-13,SourceSleuth duplicate-account bans and non-cheating moderation reasons are excluded.
78,90,strong,electric-servers,true,false,community-cheat-ban,2026-08-13,Host did not resolve when this snapshot was built; registered for provenance only.
79,85,strong,oppressive-territory,true,false,community-cheat-ban,2026-08-13,Only bans whose stated reason is a cheating determination carry weight.
80,70,moderate,asean-list,true,false,curated-playerlist,2026-08-18,
81,72,moderate,joekiller,true,false,curated-playerlist,2026-08-18,Most effective on US-East (Virginia) casual servers per author.
82,50,weak,zyzel-vonny,true,false,curated-playerlist,2026-08-18,Very small personal list; low corroboration volume.
83,45,weak,rednotepl,true,false,curated-playerlist,2026-08-18,Repository is archived; treated as a static historical snapshot.
84,72,moderate,cleffy,true,false,curated-playerlist,2026-08-18,
85,65,moderate,asomn,true,false,curated-playerlist,2026-08-18,
86,60,moderate,h0xton1337-naughtylist,true,false,curated-playerlist,2026-08-18,Suspicious attribute is scored at the formula's normal reduced weight; cheater/exploiter are unaffected.
87,85,strong,darkpyro,true,false,community-cheat-ban,2026-08-18,"Only active explicit cheating/anti-cheat-detection reasons count; association, duplicate-account, evasion, conduct and exploit-abuse reasons are recorded as server_ban and contribute nothing. Recent-window sync (most recent banlist pages only, not the full historical archive)."
88,85,strong,flux-tf,true,false,community-cheat-ban,2026-08-18,"Only active explicit cheating/anti-cheat-detection reasons count; association, duplicate-account, evasion, conduct and exploit-abuse reasons are recorded as server_ban and contribute nothing. Recent-window sync (most recent banlist pages only, not the full historical archive)."
89,82,strong,scrap-tf,true,false,community-cheat-ban,2026-08-18,"Only active explicit cheating/anti-cheat-detection reasons count; association, duplicate-account, evasion, conduct and exploit-abuse reasons are recorded as server_ban and contribute nothing. Recent-window sync (most recent banlist pages only, not the full historical archive)."
90,80,strong,titan-tf,true,false,community-cheat-ban,2026-08-18,"Only active explicit cheating/anti-cheat-detection reasons count; association, duplicate-account, evasion, conduct and exploit-abuse reasons are recorded as server_ban and contribute nothing. Recent-window sync (most recent banlist pages only, not the full historical archive)."
91,82,strong,firepowered,true,false,community-cheat-ban,2026-08-18,"Only active explicit cheating/anti-cheat-detection reasons count; association, duplicate-account, evasion, conduct and exploit-abuse reasons are recorded as server_ban and contribute nothing. Recent-window sync (most recent banlist pages only, not the full historical archive). The community has acknowledged its inherited banlist includes old/reversed entries; only clear cheating-determination reasons are scored here regardless."
92,82,strong,furrypound,true,false,community-cheat-ban,2026-08-19,"Only active explicit cheating/anti-cheat-detection reasons count; association, duplicate-account, evasion, conduct and exploit-abuse reasons are recorded as server_ban and contribute nothing. Recent-window sync (most recent banlist pages only, not the full historical archive)."
93,78,strong,otaku-gaming-tf,true,false,community-cheat-ban,2026-08-19,"Only active explicit cheating/anti-cheat-detection reasons count; association, duplicate-account, evasion, conduct and exploit-abuse reasons are recorded as server_ban and contribute nothing. Recent-window sync (most recent banlist pages only, not the full historical archive)."
94,75,strong,tf2-casual-fun,true,false,community-cheat-ban,2026-08-19,"Only active explicit cheating/anti-cheat-detection reasons count; association, duplicate-account, evasion, conduct and exploit-abuse reasons are recorded as server_ban and contribute nothing. Recent-window sync (most recent banlist pages only, not the full historical archive). This install marks expired and lifted bans, which are imported as inactive and excluded from the score."
