source_id,slug,name,source_type,upstream_repo,update_url,authors,scope_region,description,source_file
1,cheaterlist-cheaterfriend-playerlist-cheaterfriend,CheaterList — friend association,tf2bd_playerlist,https://github.com/d3fc0n6/CheaterList,https://raw.githubusercontent.com/d3fc0n6/CheaterList/main/CheaterFriend/playerlist.cheaterfriend.json,"[""WalterWhite3"", ""d3fc0n6""]",global,List of Cheaters found by d3fc0n6.,CheaterList/CheaterFriend/playerlist.cheaterfriend.json
2,cheaterlist-group-playerlist-group,CheaterList — group association,tf2bd_playerlist,https://github.com/d3fc0n6/CheaterList,https://raw.githubusercontent.com/d3fc0n6/CheaterList/main/Group/playerlist.group.json,"[""WalterWhite3"", ""d3fc0n6""]",global,List of Cheaters found by d3fc0n6.,CheaterList/Group/playerlist.group.json
3,cheaterlist-vac-playerlist-vac,CheaterList — VAC + association,tf2bd_playerlist,https://github.com/d3fc0n6/CheaterList,https://raw.githubusercontent.com/d3fc0n6/CheaterList/main/VAC/playerlist.vac.json,"[""WalterWhite3"", ""d3fc0n6""]",global,List of Cheaters found by d3fc0n6.,CheaterList/VAC/playerlist.vac.json
4,tf2-bot-detector-staging-cfg-playerlist-official,TF2BD — official blacklist,tf2bd_playerlist,https://github.com/PazerOP/tf2_bot_detector,https://raw.githubusercontent.com/PazerOP/tf2_bot_detector/master/staging/cfg/playerlist.official.json,"[""pazer""]",global,Official player blacklist for TF2 Bot Detector.,tf2_bot_detector/staging/cfg/playerlist.official.json
5,tf2bd-lists-playerlist-qfoxb,qfoxb — player list,tf2bd_playerlist,https://github.com/qfoxb/tf2bd-lists,https://raw.githubusercontent.com/qfoxb/tf2bd-lists/main/playerlist.qfoxb.json,"[""qfoxb""]",global,qfoxb's playerlist,tf2bd-lists/playerlist.qfoxb.json
6,tf2db-sleepy-list-playerlist-megacheaterdb,MegaCheaterDB snapshot,tf2bd_playerlist,https://mcdb.neocities.org/,https://mcdb.neocities.org/,"[""megascatterbomb""]",mixed,scraped & converted list from https://megascatterbomb.com/mcd using export_megacheaterdb_as_tf2bd.py at 2024-06-02T00:06:55.567323.,tf2db-sleepy-list/playerlist.megacheaterdb.json
7,tf2db-sleepy-list-playerlist-nullc0re,nullc0re — group membership,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,"auto-generated file marking all members of nullc0re, (whitelist: [])",tf2db-sleepy-list/playerlist.nullc0re.json
8,tf2db-sleepy-list-playerlist-rgl-gg,RGL cheating bans — archived snapshot,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""rgl.gg"", ""surepy""]",mixed,"converted bans of rgl.gg. keyword = ['cheating', 'hack', 'cheat'], keyword_clear = ['non-tf2', 'cleared', 'organizing of harassment']",tf2db-sleepy-list/playerlist.rgl-gg.json
9,tf2db-sleepy-list-playerlist-sleepy-bots-ivy,Sleepy bot list — Ivy,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,"ivy's bots // auto-generated file marking all members of 1vya, (whitelist: [])",tf2db-sleepy-list/playerlist.sleepy-bots.ivy.json
10,tf2db-sleepy-list-playerlist-sleepy-bots,Sleepy bot list — main,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,sleepy's us-west list; only marks bots as cheating- these are ALL bots.,tf2db-sleepy-list/playerlist.sleepy-bots.json
11,tf2db-sleepy-list-playerlist-sleepy-bots-merged,Sleepy bot list — merged,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,"sleepy's merged bot list, 14 files and 1225 bots marked.",tf2db-sleepy-list/playerlist.sleepy-bots.merged.json
12,tf2db-sleepy-list-playerlist-sleepy-bots-msb-impers,Sleepy bot list — MSB impersonators,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,megascatterbomb impersonation series,tf2db-sleepy-list/playerlist.sleepy-bots.msb-impers.json
13,tf2db-sleepy-list-playerlist-sleepy-bots-omegatronic,Sleepy bot list — Omegatronic,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,"sleepy's us-west bot list // omegatronic-hexatronic series, or anything 'tronic'. // will get out of hand eventually",tf2db-sleepy-list/playerlist.sleepy-bots.omegatronic.json
14,tf2db-sleepy-list-playerlist-sleepy-bots-perry,Sleepy bot list — Perry,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,description goes here,tf2db-sleepy-list/playerlist.sleepy-bots.perry.json
15,tf2db-sleepy-list-playerlist-sleepy-bots-pinkie,Sleepy bot list — Pinkie,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,"another day and another pony series, these acounts seem to be all premium, lmao.",tf2db-sleepy-list/playerlist.sleepy-bots.pinkie.json
16,tf2db-sleepy-list-playerlist-sleepy-bots-pokerface,Sleepy bot list — Pokerface,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,'pokerface' bots aka 'tf2 destroyers' group // KR bots // 4 groupban entries merged (associates banned too),tf2db-sleepy-list/playerlist.sleepy-bots.pokerface.json
17,tf2db-sleepy-list-playerlist-sleepy-bots-qt,Sleepy bot list — QT,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,"queecore's bots, Sewerslvt based tbh",tf2db-sleepy-list/playerlist.sleepy-bots.qt.json
18,tf2db-sleepy-list-playerlist-sleepy-bots-rosne,Sleepy bot list — Rosne,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,rosne or whatever that guy name is,tf2db-sleepy-list/playerlist.sleepy-bots.rosne.json
19,tf2db-sleepy-list-playerlist-sleepy-bots-siec,Sleepy bot list — SIEC,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,seic's bots // miku miku oo ee oo,tf2db-sleepy-list/playerlist.sleepy-bots.siec.json
20,tf2db-sleepy-list-playerlist-sleepy-bots-sydney,Sleepy bot list — Sydney,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,sleepy's us-west bot list // sydneious' bots // lazily generated and manually added,tf2db-sleepy-list/playerlist.sleepy-bots.sydney.json
21,tf2db-sleepy-list-playerlist-sleepy-bots-tf2easy,Sleepy bot list — TF2Easy,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,"'tf2easy' bots, not affilated with the gambling site. pretty well hosted. // previously omegatronic?",tf2db-sleepy-list/playerlist.sleepy-bots.tf2easy.json
22,tf2db-sleepy-list-playerlist-sleepy-bots-typical-tf2-player,Sleepy bot list — Typical TF2 Player,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,'typical tf2 player' bots only (use rules instead - 'bad characters').,tf2db-sleepy-list/playerlist.sleepy-bots.typical-tf2-player.json
23,tf2db-sleepy-list-playerlist-sleepy-bots-vinesauce,Sleepy bot list — Vinesauce,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,sleepy's us-west list; only marks bots as cheating. (vinesauce edition),tf2db-sleepy-list/playerlist.sleepy-bots.vinesauce.json
24,tf2db-sleepy-list-playerlist-sleepy-external,Sleepy — external list,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,"sleepy's us-west list by association and externally // curated externally (not in-game!), if i see them in-game and confident cheating, will merge to main sleepylist",tf2db-sleepy-list/playerlist.sleepy-external.json
25,tf2db-sleepy-list-playerlist-sleepy-misc,Sleepy — miscellaneous,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,"sleepy's us-west misc list, these are mostly garbage data in my opinion.",tf2db-sleepy-list/playerlist.sleepy-misc.json
26,tf2db-sleepy-list-playerlist-sleepy-no-proof,Sleepy — no-proof list,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,sleepy's us-west list where i don't know if these players are bots are human cheater.,tf2db-sleepy-list/playerlist.sleepy-no-proof.json
27,tf2db-sleepy-list-playerlist-sleepy,Sleepy — main list,tf2bd_playerlist,https://github.com/surepy/tf2db-sleepy-list,,"[""surepy""]",mixed,sleepy's us-west list; only marks players. users are not marked cheater unless evident beyond a reasonable doubt (will be marked suspicious instead).,tf2db-sleepy-list/playerlist.sleepy.json
28,rentamedic-curated,Rent-a-Medic — curated database,curated_database,,https://rentamedic.org/cheaters/,"[""Rent-a-Medic""]",global,Public curated TF2 cheater database with downloadable data and a public lookup API.,
29,rentamedic-community-bans,Rent-a-Medic — community-ban index,aggregator,,https://rentamedic.org/cheaters/api,"[""Rent-a-Medic""]",global,Aggregator for cheat-related community bans. Underlying community provenance must be preserved and counted independently from this aggregator.,
30,skial-sourcebans,Skial — SourceBans,sourcebans,,https://www.skial.com/sourcebans/,"[""Skial""]",global,Public TF2 community ban database. Only explicit cheat or anti-cheat reasons should contribute to cheat confidence.,
31,blackwonder-sourcebans,BlackWonder — SourceBans,sourcebans,,https://bans.blackwonder.tf/index.php?p=banlist,"[""BlackWonder.TF""]",global,Public TF2 community ban database with anti-cheat detections and staff cheating bans.,
32,ugc-direct-cheating-bans,UGC — direct cheating bans,league_bans,,https://www.ugcleague.com/banlist_tf2.cfm,"[""UGC League""]",global,UGC TF2 bans explicitly categorized as cheating.,
33,ugc-mirror-bans,UGC — mirrored bans,mirror_index,,https://www.ugcleague.com/banlist_tf2.cfm,"[""UGC League""]",global,"UGC mirror entries originating from RGL, ETF2L, ozfortress or other sources. Do not count as independent corroboration.",
34,phoenixgaming-community-bans,Phoenix Gaming — community bans,community_bans,,https://bans.phoenix-gaming.gg/index.php?p=banlist,"[""Phoenix Gaming""]",global,Cheat-related Phoenix Gaming bans exposed by the Rent-a-Medic community-ban API.,
35,discff-community-bans,Disc-FF — community bans,community_bans,,https://rentamedic.org/cheaters/api,"[""Disc-FF""]",global,Cheat-related Disc-FF bans exposed by the Rent-a-Medic community-ban API.,
36,panda-sourcebans,Panda Community — SourceBans,sourcebans,,https://bans.panda-community.com/index.php?p=banlist,"[""Panda Community""]",global,Public community ban database with explicit anti-cheat cheating reasons.,
37,jumpacademy-sourcebans,Jump Academy — SourceBans,sourcebans,,https://bans.jumpacademy.tf/index.php?p=banlist,"[""Jump Academy""]",global,Public TF2 community ban database. Only explicit cheat or anti-cheat reasons should contribute to cheat confidence.,
38,thg-community-bans,THG — community bans,community_bans,,https://rentamedic.org/cheaters/api,"[""THG""]",global,Cheat-related THG bans exposed by the Rent-a-Medic community-ban API.,
39,loos-sourcebans,LOOS Community — SourceBans,sourcebans,,https://sb.looscommunity.com/?p=banlist,"[""LOOS Community""]",global,Public TF2 community ban database with StAC cheating detections.,
40,gfl-community-bans,GFL — community bans,community_bans,,https://rentamedic.org/cheaters/api,"[""GFL""]",global,Cheat-related GFL bans exposed by the Rent-a-Medic community-ban API.,
41,castaway-sourcebans,Castaway.tf — SourceBans,sourcebans,,https://castaway.tf/bans/index.php?p=banlist,"[""Castaway.tf""]",global,Public TF2 community ban database with StAC and staff cheating bans.,
